Statistic,Specific Conductance (μs/cm),Turbidity (NTU),Water Temperature (°C),Dissolved Oxygen (mg/L),pH,Fluorescence (μg/L)
,Surface,Surface,Surface,Surface,Surface,Surface
MIN,125,1.71,8.57,6.67,7.12,0.12
MAX,541,41.27,25.44,11.19,7.86,10.90
AVERAGE,188,5.24,17.04,8.93,7.56,1.48
