Statistic,Specific Conductance (μs/cm),Turbidity (FNU),Water Temperature (°C),Dissolved Oxygen (mg/L),pH,Fluorescence (μg/L)
,Surface,Surface,Surface,Surface,Surface,Surface
MIN,126,1.05,7.83,6.16,7.05,0.55
MAX,1414,79.22,26.31,11.07,8.12,6.57
AVERAGE,299,8.05,17.3,8.96,7.72,1.63
