Region,HexColor
North Delta,#F8766D
Central Delta,#7CAE00
South Delta,#00A9FF
Confluence,#CD9600
Suisun and Grizzly Bays,#00BE67
Suisun & Grizzly Bays,#00BE67
Suisun Marsh,#FF61CC
Carquinez,#C77CFF
San Pablo Bay,#00BFC4
