Statistic,Specific Conductance (μs/cm),Turbidity (NTU),Water Temperature (°C),Dissolved Oxygen (mg/L),pH,Fluorescence (μg/L)
--,Surface,Surface,Surface,Surface,Surface,Surface
MIN,84,2,7.8,7.5,7.2,0.6
MAX,284,169,23.8,11.4,7.9,14.5
AVERAGE,149,17,15.5,9.2,7.5,1.7
