Statistic,"Dissolved Oxygen
 (Surface)","Fluorescence
 (Surface)","pH
 (Surface)","Specific Conductance
 (Surface)","Turbidity
 (Surface)","Water Temperature
 (Surface)"
NA,mg/L,μg/L,NA,μS/cm,FNU,° C
MIN,7.5,0.43,7.38,105,0.82,7.71
MAX,11.61,10.07,8.13,1509,129.15,24.94
AVERAGE,9.24,1.66,7.75,225,5.86,17.09
